i,name,halantname,type,karma,iXt,english,hindi,dhaatu,ii,startshal
१.०००१,भू,भू, परस्मैपदी, अकर्मकः,सेट्,"to exist, to become, to be, to happen",होना,भूभू सत्तायाम्भ्वादिः,1,FALSE
१.०००२,एधँ,एध्, आत्मनेपदी, अकर्मकः,सेट्,"to grow, to increase, to prosper, to extend, to swell, to rise",बढना,एध्एधँ वृद्धौभ्वादिः,2,FALSE
१.०००३,स्पर्धँ,स्पर्ध्, आत्मनेपदी, अकर्मकः,सेट्,"to challenge, to compete, to conflict, to rival, to struggle",संघर्ष करना,स्पर्ध्स्पर्धँ सङ्घर्षेभ्वादिः,3,FALSE
१.०००४,गाधृँ,गाध्, आत्मनेपदी, सकर्मकः,सेट्,"to praise onself, to desire, to tie together, to string together, to seek, to stay together, to stand firmly, to compile","यश प्राप्त करना, लेने की अभिलाषा करना",गाध्गाधृँ प्रतिष्ठालिप्सयोर्ग्रन्थे चभ्वादिः,4,FALSE
१.०००५,बाधृँ,बाध्, आत्मनेपदी,सकर्मकः,सेट्,"to oppress, to torment, to harass, to destroy, to infect, to torture","रोकना, बाधा देना, दुःख देना",बाध्बाधृँ लोडने रोटनेभ्वादिः,5,FALSE
१.०००६,नाधृँ,नाध्, आत्मनेपदी, सकर्मकः,सेट्,"to seek help, to beg, to irritate, to bless, to master","याचना करना, रोगी होना, श्रीमान् होना, आशीर्वाद देना",नाध्नाधृँ याच्ञोपतापैश्वर्याशीष्षुभ्वादिः,6,FALSE
१.०००७,नाथृँ,नाथ्, आत्मनेपदी, सकर्मकः,सेट्,"to seek help, to beg, to irritate, to bless, to master","याचना करना, रोगी होना, श्रीमान् होना, आशीर्वाद देना",नाथ्नाथृँ याच्ञोपतापैश्वर्याशीष्षुभ्वादिः,7,FALSE
१.०००८,दधँ,दध्, आत्मनेपदी, सकर्मकः,सेट्,"to hold, to possess","धारण करना, पालन करना, देना, अर्पण करना",दध्दधँ धारणेभ्वादिः,8,FALSE
१.०००९,स्कुदिँ,स्कुन्द्, आत्मनेपदी, सकर्मकः,सेट्,"to jump, to raise, to lift up","चलना, कूदना, ऊपर उठाना",स्कुन्द्स्कुदिँ आप्रवणेभ्वादिः,9,FALSE
१.००१,श्विदिँ,श्विन्द्, आत्मनेपदी, अकर्मकः,सेट्,to be white,"सफेद होना, शुभ्र होना",श्विन्द्श्विदिँ श्वैत्येभ्वादिः,10,FALSE
१.००११,वदिँ,वन्द्, आत्मनेपदी, सकर्मकः,सेट्,"to worship, to show honor, to do homage, to show respect, to venerate, to bow, to salute, to praise, to adore, to greet","सत्कारपूर्वक कुशल प्रश्न पूछना, नमस्कार करना, स्तुति करना",वन्द्वदिँ अभिवादनस्तुत्योःभ्वादिः,11,FALSE
१.००१२,भदिँ,भन्द्, आत्मनेपदी, अकर्मकः,सेट्,"to be prosperous, to be glad, to be happy","शुभ कर्म करना, सुखी होना",भन्द्भदिँ कल्याणे सुखे चभ्वादिः,12,FALSE
१.००१३,मदिँ,मन्द्, आत्मनेपदी, सकर्मकः,सेट्,"to praise, to be glad, to be proud, to sleep, to shine, to move slowly, to intoxicate","स्तुति करना, तुष्ट करना, आनन्द करना, उन्मत्त होना, सोना, चाहना, चमकना, प्रकाशित होना",मन्द्मदिँ स्तुतिमोदमदस्वप्नकान्तिगतिषुभ्वादिः,13,FALSE
